data;estado;value;treated
2011-03-01;sc;  923633;0
2011-03-01;sp; 8097174;0
2011-03-01;sergipe;  151066;0
2011-03-01;tocantins;   91667;0
2011-04-01;acre;   48861;0
2011-04-01;alagoas;  191035;0
2011-04-01;amapa;   36879;0
2011-04-01;amazonas;  454000;0
2011-04-01;bahia; 1071629;0
2011-04-01;ceara;  517117;0
2011-04-01;df;  404149;0
2011-04-01;es;  746463;0
2011-04-01;goias;  702220;0
2011-04-01;maranhao;  268331;0
2011-04-01;mt;  521864;0
2011-04-01;ms;  431581;0
2011-04-01;mg; 2461272;0
2011-04-01;para;  439113;0
2011-04-01;pb;  225461;0
2011-04-01;parana; 1263936;0
2011-04-01;pe;  769969;0
2011-04-01;piaui;  165151;0
2011-04-01;rj; 1996916;0
2011-04-01;rn;  246963;0
2011-04-01;rs; 1642541;0
2011-04-01;rondonia;  185817;0
2011-04-01;rr;   34343;0
2011-04-01;sc;  975752;0
2011-04-01;sp; 8052328;0
2011-04-01;sergipe;  152150;0
2011-04-01;tocantins;   96471;0
2011-05-01;acre;   45574;0
2011-05-01;alagoas;  196403;0
2011-05-01;amapa;   34930;0
2011-05-01;amazonas;  481523;0
2011-05-01;bahia; 1101716;0
2011-05-01;ceara;  521613;0
2011-05-01;df;  410518;0
2011-05-01;es;  645963;0
2011-05-01;goias;  713097;0
2011-05-01;maranhao;  254378;0
2011-05-01;mt;  471882;0
2011-05-01;ms;  426201;0
2011-05-01;mg; 2148502;0
2011-05-01;para;  421532;0
2011-05-01;pb;  228618;0
2011-05-01;parana; 1268690;0
2011-05-01;pe;  763600;0
2011-05-01;piaui;  160353;0
2011-05-01;rj; 2159657;0
2011-05-01;rn;  306689;0
2011-05-01;rs; 1539683;0
2011-05-01;rondonia;  204060;0
2011-05-01;rr;   35769;0
2011-05-01;sc;  954360;0
2011-05-01;sp; 8489187;0
2011-05-01;sergipe;  152345;0
2011-05-01;tocantins;   99877;0
2011-06-01;acre;   46098;0
2011-06-01;alagoas;  169637;0
2011-06-01;amapa;   41357;0
2011-06-01;amazonas;  461413;0
2011-06-01;bahia; 1095286;0
2011-06-01;ceara;  552248;0
2011-06-01;df;  474543;0
2011-06-01;es;  775542;0
2011-06-01;goias;  787892;0
2011-06-01;maranhao;  272346;0
2011-06-01;mt;  492904;0
2011-06-01;ms;  441421;0
2011-06-01;mg; 2482334;0
2011-06-01;para;  464799;0
2011-06-01;pb;  235638;0
2011-06-01;parana; 1276696;0
2011-06-01;pe;  805881;0
2011-06-01;piaui;  157504;0
2011-06-01;rj; 2135001;0
2011-06-01;rn;  250304;0
2011-06-01;rs; 1524884;0
2011-06-01;rondonia;  212851;0
2011-06-01;rr;   36154;0
2011-06-01;sc;  955935;0
2011-06-01;sp; 8383973;0
2011-06-01;sergipe;  157697;0
2011-06-01;tocantins;  106739;0
2011-07-01;acre;   48113;0
2011-07-01;alagoas;  167983;0
2011-07-01;amapa;   37583;0
2011-07-01;amazonas;  494512;0
2011-07-01;bahia; 1058541;0
2011-07-01;ceara;  563076;0
2011-07-01;df;  426437;0
2011-07-01;es;  687940;0
2011-07-01;goias;  763499;0
2011-07-01;maranhao;  277188;0
2011-07-01;mt;  484729;0
2011-07-01;ms;  435110;0
2011-07-01;mg; 2441145;0
2011-07-01;para;  513490;0
2011-07-01;pb;  239816;0
2011-07-01;parana; 1267566;0
2011-07-01;pe;  846155;0
2011-07-01;piaui;  189514;0
2011-07-01;rj; 1925069;0
2011-07-01;rn;  266971;0
2011-07-01;rs; 1582319;0
2011-07-01;rondonia;  223513;0
2011-07-01;rr;   33300;0
2011-07-01;sc;  931177;0
2011-07-01;sp; 8328160;0
2011-07-01;sergipe;  156859;0
2011-07-01;tocantins;  106791;0
2011-08-01;acre;   46924;0
2011-08-01;alagoas;  189831;0
2011-08-01;amapa;   45119;0
2011-08-01;amazonas;  532814;0
2011-08-01;bahia; 1180223;0
2011-08-01;ceara;  590169;0
2011-08-01;df;  429348;0
2011-08-01;es;  726236;0
2011-08-01;goias;  797577;0
2011-08-01;maranhao;  296849;0
2011-08-01;mt;  506327;0
2011-08-01;ms;  465155;0
2011-08-01;mg; 2488538;0
2011-08-01;para;  514681;0
2011-08-01;pb;  239664;0
2011-08-01;parana; 1304967;0
2011-08-01;pe;  817891;0
2011-08-01;piaui;  186740;0
2011-08-01;rj; 2095246;0
2011-08-01;rn;  275028;0
2011-08-01;rs; 1685540;0
2011-08-01;rondonia;  258513;0
2011-08-01;rr;   36090;0
2011-08-01;sc; 1069035;0
2011-08-01;sp; 8623454;0
2011-08-01;sergipe;  156502;0
2011-08-01;tocantins;  114386;0
2011-09-01;acre;   50259;0
2011-09-01;alagoas;  176947;0
2011-09-01;amapa;   46570;0
2011-09-01;amazonas;  507948;0
2011-09-01;bahia; 1129548;0
2011-09-01;ceara;  606385;0
2011-09-01;df;  440844;0
2011-09-01;es;  756450;0
2011-09-01;goias;  800664;0
2011-09-01;maranhao;  315600;0
2011-09-01;mt;  534936;0
2011-09-01;ms;  484410;0
2011-09-01;mg; 2589990;0
2011-09-01;para;  513442;0
2011-09-01;pb;  239694;0
2011-09-01;parana; 1411287;0
2011-09-01;pe;  853146;0
2011-09-01;piaui;  180245;0
2011-09-01;rj; 2129816;0
2011-09-01;rn;  278585;0
2011-09-01;rs; 1636917;0
2011-09-01;rondonia;  222491;0
2011-09-01;rr;   35688;0
2011-09-01;sc; 1040982;0
2011-09-01;sp; 8941298;0
2011-09-01;sergipe;  164322;0
2011-09-01;tocantins;  113013;0
2011-10-01;acre;   45830;0
2011-10-01;alagoas;  174041;0
2011-10-01;amapa;   49893;0
2011-10-01;amazonas;  503806;0
2011-10-01;bahia; 1123236;0
2011-10-01;ceara;  616394;0
2011-10-01;df;  435871;0
2011-10-01;es;  715794;0
2011-10-01;goias;  780905;0
2011-10-01;maranhao;  305896;0
2011-10-01;mt;  510074;0
2011-10-01;ms;  469865;0
2011-10-01;mg; 2549456;0
2011-10-01;para;  481998;0
2011-10-01;pb;  229196;0
2011-10-01;parana; 1514062;0
2011-10-01;pe;  868194;0
2011-10-01;piaui;  181039;0
2011-10-01;rj; 2096364;0
2011-10-01;rn;  277275;0
2011-10-01;rs; 1720893;0
2011-10-01;rondonia;  271721;0
2011-10-01;rr;   36604;0
2011-10-01;sc; 1246362;0
2011-10-01;sp; 8807699;0
2011-10-01;sergipe;  168129;0
2011-10-01;tocantins;  112737;0
2011-11-01;acre;   45472;0
2011-11-01;alagoas;  219795;0
2011-11-01;amapa;   52600;0
2011-11-01;amazonas;  549611;0
2011-11-01;bahia; 1138479;0
2011-11-01;ceara;  623699;0
2011-11-01;df;  396785;0
2011-11-01;es;  717134;0
2011-11-01;goias;  766573;0
2011-11-01;maranhao;  312121;0
2011-11-01;mt;  527616;0
2011-11-01;ms;  557107;0
2011-11-01;mg; 2545423;0
2011-11-01;para;  514660;0
2011-11-01;pb;  234452;0
2011-11-01;parana; 1457754;0
2011-11-01;pe;  871992;0
2011-11-01;piaui;  179628;0
2011-11-01;rj; 2217101;0
2011-11-01;rn;  255058;0
2011-11-01;rs; 1793228;0
2011-11-01;rondonia;  207930;0
2011-11-01;rr;   36903;0
2011-11-01;sc; 1244435;0
2011-11-01;sp; 8677637;0
2011-11-01;sergipe;  214092;0
2011-11-01;tocantins;  113112;0
2011-12-01;acre;   49361;0
2011-12-01;alagoas;  208881;0
2011-12-01;amapa;   50895;0
2011-12-01;amazonas;  554734;0
2011-12-01;bahia; 1251355;0
2011-12-01;ceara;  623609;0
2011-12-01;df;  567603;0
2011-12-01;es;  812171;0
2011-12-01;goias; 1312281;0
2011-12-01;maranhao;  324928;0
2011-12-01;mt;  489473;0
2011-12-01;ms;  474668;0
2011-12-01;mg; 2788468;0
2011-12-01;para;  525301;0
2011-12-01;pb;  241150;0
2011-12-01;parana; 1630891;0
2011-12-01;pe;  894195;0
2011-12-01;piaui;  182326;0
2011-12-01;rj; 2272286;0
2011-12-01;rn;  298130;0
2011-12-01;rs; 1823006;0
2011-12-01;rondonia;  217329;0
2011-12-01;rr;   36253;0
2011-12-01;sc; 1251620;0
2011-12-01;sp; 9725566;0
2011-12-01;sergipe;  186132;0
2011-12-01;tocantins;  118353;0
2012-01-01;acre;   42018;0
2012-01-01;alagoas;  231106;0
2012-01-01;amapa;   59213;0
2012-01-01;amazonas;  483157;0
2012-01-01;bahia; 1203696;0
